Time;Ecg 1;Ecg 2
11:06:06.229;6230801.0;6039061.0
11:06:06.269;6230283.0;6038228.0
11:06:06.309;6229870.0;6036960.0
11:06:06.349;6237018.0;6049438.0
11:06:06.389;6229306.0;6038503.0
11:06:06.429;6230273.0;6034875.0
11:06:06.469;6230282.0;6034307.0
11:06:06.509;6230727.0;6034761.0
11:06:06.549;6231113.0;6034778.0
11:06:06.589;6231471.0;6036616.0
11:06:06.629;6231652.0;6037187.0
11:06:06.669;6232263.0;6037913.0
11:06:06.709;6233245.0;6038516.0
11:06:06.749;6234179.0;6038943.0
11:06:06.789;6234523.0;6039339.0
11:06:06.829;6234854.0;6039661.0
11:06:06.869;6235830.0;6041524.0
11:06:06.909;6236547.0;6041444.0
11:06:06.949;6236266.0;6041650.0
11:06:06.989;6243740.0;6052227.0
11:06:07.029;6234422.0;6040916.0
11:06:07.069;6236472.0;6040940.0
11:06:07.109;6236576.0;6040644.0
11:06:07.149;6236583.0;6039455.0
11:06:07.189;6236146.0;6039008.0
11:06:07.229;6236374.0;6041722.0
11:06:07.269;6236499.0;6042930.0
11:06:07.309;6236153.0;6041818.0
11:06:07.349;6236180.0;6041913.0
11:06:07.389;6236196.0;6041984.0
11:06:07.429;6239198.0;6046346.0
11:06:07.469;6234296.0;6040500.0
11:06:07.509;6234572.0;6039823.0
11:06:07.549;6234251.0;6039118.0
11:06:07.589;6233535.0;6038041.0
11:06:07.629;6233539.0;6039141.0
11:06:07.669;6232963.0;6040664.0
11:06:07.709;6232512.0;6040483.0
11:06:07.749;6232025.0;6040199.0
11:06:07.789;6232142.0;6039796.0
11:06:07.829;6231250.0;6039532.0
11:06:07.869;6230537.0;6039057.0
11:06:07.909;6229888.0;6038505.0
11:06:07.949;6230049.0;6039076.0
11:06:07.989;6235415.0;6046332.0
11:06:08.029;6227776.0;6036861.0
11:06:08.069;6228256.0;6035619.0
11:06:08.109;6227646.0;6035386.0
11:06:08.149;6227475.0;6034754.0
11:06:08.189;6226868.0;6034984.0
11:06:08.229;6226886.0;6036146.0
11:06:08.269;6226541.0;6036540.0
11:06:08.309;6226387.0;6036503.0
11:06:08.349;6225717.0;6035491.0
11:06:08.389;6225047.0;6035032.0
11:06:08.429;6223908.0;6034341.0
11:06:08.469;6230374.0;6045075.0
11:06:08.509;6222507.0;6033399.0
11:06:08.549;6222473.0;6031761.0
11:06:08.589;6221900.0;6031274.0
11:06:08.629;6222905.0;6032639.0
11:06:08.669;6228537.0;6037783.0
11:06:08.709;6230064.0;6040345.0
11:06:08.749;6230866.0;6041638.0
11:06:08.789;6232106.0;6043923.0
11:06:08.829;6236143.0;6047920.0
11:06:08.869;6232067.0;6042337.0
11:06:08.909;6231766.0;6040973.0
11:06:08.949;6230954.0;6040887.0
11:06:08.989;6230673.0;6040241.0
11:06:09.029;6230878.0;6040739.0
11:06:09.069;6229637.0;6041040.0
11:06:09.109;6229592.0;6042348.0
11:06:09.149;6229581.0;6041763.0
11:06:09.189;6228832.0;6040983.0
11:06:09.229;6228268.0;6040018.0
11:06:09.269;6228285.0;6040581.0
11:06:09.309;6228665.0;6046783.0
11:06:09.349;6229105.0;6042500.0
11:06:09.389;6227321.0;6039137.0
11:06:09.429;6227496.0;6038642.0
11:06:09.469;6226930.0;6037811.0
11:06:09.509;6226131.0;6037247.0
11:06:09.549;6226474.0;6038898.0
11:06:09.589;6226311.0;6039424.0
11:06:09.629;6225772.0;6038862.0
11:06:09.669;6225330.0;6038867.0
11:06:09.709;6225723.0;6039106.0
11:06:09.749;6232625.0;6050127.0
11:06:09.789;6223365.0;6039627.0
11:06:09.829;6224191.0;6036529.0
11:06:09.869;6223971.0;6036200.0
11:06:09.909;6223645.0;6034852.0
11:06:09.949;6223672.0;6036406.0
11:06:09.989;6224037.0;6037957.0
11:06:10.029;6223954.0;6037989.0
11:06:10.069;6223552.0;6037556.0
11:06:10.109;6223221.0;6037727.0
11:06:10.149;6223231.0;6037376.0
11:06:10.189;6223172.0;6037456.0
11:06:10.378;6223542.0;6037197.0
11:06:10.418;6220766.0;6035945.0
11:06:10.458;6221360.0;6035462.0
11:06:10.498;6221574.0;6035317.0
11:06:10.538;6221481.0;6034830.0
11:06:10.578;6221098.0;6034916.0
11:06:10.618;6221312.0;6036949.0
11:06:10.658;6221467.0;6037449.0
11:06:10.698;6221573.0;6037515.0
11:06:10.738;6225939.0;6043263.0
11:06:10.778;6220826.0;6036646.0
11:06:10.818;6221364.0;6035718.0
11:06:10.858;6221897.0;6036040.0
11:06:10.898;6222066.0;6035638.0
11:06:10.938;6221848.0;6036197.0
11:06:10.978;6222177.0;6038221.0
11:06:11.018;6222004.0;6038757.0
11:06:11.058;6222012.0;6038552.0
11:06:11.098;6223928.0;6047687.0
11:06:11.138;6221324.0;6040991.0
11:06:11.178;6221012.0;6036368.0
11:06:11.218;6221123.0;6036248.0
11:06:11.258;6221192.0;6035228.0
11:06:11.298;6221230.0;6035121.0
11:06:11.338;6220958.0;6037365.0
11:06:11.378;6221060.0;6038187.0
11:06:11.418;6221257.0;6037404.0
11:06:11.458;6221083.0;6037124.0
11:06:11.498;6220863.0;6037791.0
11:06:11.538;6220504.0;6042626.0
11:06:11.578;6222781.0;6040234.0
11:06:11.618;6219971.0;6035462.0
11:06:11.658;6220027.0;6035389.0
11:06:11.698;6219687.0;6034994.0
11:06:11.738;6219972.0;6034412.0
11:06:11.778;6219785.0;6035017.0
11:06:11.818;6220194.0;6036749.0
11:06:11.858;6219570.0;6037655.0
11:06:11.898;6219645.0;6037050.0
11:06:11.938;6219694.0;6036816.0
11:06:11.978;6219620.0;6037541.0
11:06:12.018;6222414.0;6041430.0
11:06:12.058;6218064.0;6035734.0
11:06:12.098;6218860.0;6035046.0
11:06:12.138;6218936.0;6035014.0
11:06:12.178;6218389.0;6034656.0
11:06:12.218;6218445.0;6036276.0
11:06:12.258;6218974.0;6038079.0
11:06:12.298;6218830.0;6037797.0
11:06:12.338;6218395.0;6037554.0
11:06:12.378;6218814.0;6038236.0
11:06:12.418;6218567.0;6038472.0
11:06:12.458;6218267.0;6038087.0
11:06:12.498;6218550.0;6038280.0
11:06:12.538;6218357.0;6037982.0
11:06:12.578;6222336.0;6049105.0
11:06:12.618;6217823.0;6040390.0
11:06:12.658;6217585.0;6036252.0
11:06:12.698;6217595.0;6036394.0
11:06:12.738;6217343.0;6036578.0
11:06:12.778;6217456.0;6036050.0
11:06:12.818;6217603.0;6037022.0
11:06:12.858;6217884.0;6038599.0
11:06:12.898;6217931.0;6038948.0
11:06:12.938;6217878.0;6038733.0
11:06:12.978;6217720.0;6038221.0
11:06:13.018;6223868.0;6051547.0
11:06:13.058;6216089.0;6040860.0
11:06:13.098;6217220.0;6037354.0
11:06:13.138;6216986.0;6036519.0
11:06:13.178;6216979.0;6035730.0
11:06:13.218;6216860.0;6036720.0
11:06:13.258;6217014.0;6038349.0
11:06:13.298;6216955.0;6038970.0
11:06:13.338;6217039.0;6044082.0
11:06:13.378;6218233.0;6041293.0
11:06:13.418;6216684.0;6037521.0
11:06:13.458;6216539.0;6037305.0
11:06:13.498;6217082.0;6036974.0
11:06:13.538;6216737.0;6037056.0
11:06:13.578;6216927.0;6039033.0
11:06:13.618;6217301.0;6040807.0
11:06:13.658;6217368.0;6040328.0
11:06:13.698;6216910.0;6040251.0
11:06:13.738;6217558.0;6040610.0
11:06:13.778;6217194.0;6041233.0
11:06:13.818;6216904.0;6040602.0
11:06:13.858;6216721.0;6040722.0
11:06:13.898;6217205.0;6040921.0
11:06:13.938;6217051.0;6041086.0
11:06:13.978;6216793.0;6041073.0
11:06:14.018;6216719.0;6040984.0
11:06:14.058;6216782.0;6041023.0
11:06:14.098;6223448.0;6054479.0
11:06:14.138;6215594.0;6043139.0
11:06:14.178;6216283.0;6039520.0
11:06:14.218;6216590.0;6039227.0
11:06:14.258;6216436.0;6039648.0
11:06:14.298;6216384.0;6039443.0
11:06:14.338;6216454.0;6040427.0
11:06:14.653;6217194.0;6042190.0
11:06:14.693;6216489.0;6040922.0
11:06:14.733;6216225.0;6039867.0
11:06:14.773;6216360.0;6039322.0
11:06:14.813;6216448.0;6041375.0
11:06:14.853;6216491.0;6043231.0
11:06:14.893;6216424.0;6042736.0
11:06:14.933;6216536.0;6042702.0
11:06:14.973;6216481.0;6042940.0
11:06:15.013;6216299.0;6042886.0
11:06:15.053;6216454.0;6043100.0
11:06:15.093;6216339.0;6043257.0
11:06:15.133;6216055.0;6043375.0
11:06:15.173;6216448.0;6043636.0
11:06:15.213;6216748.0;6043626.0
11:06:15.253;6216295.0;6043244.0
11:06:15.293;6218713.0;6053533.0
11:06:15.333;6216290.0;6046463.0
11:06:15.373;6215776.0;6041924.0
11:06:15.413;6215785.0;6041769.0
11:06:15.453;6215590.0;6041226.0
11:06:15.493;6215380.0;6041406.0
11:06:15.533;6215400.0;6042827.0
11:06:15.573;6215966.0;6044171.0
11:06:15.613;6215763.0;6043932.0
11:06:15.653;6215999.0;6043938.0
11:06:15.693;6215726.0;6044556.0
11:06:15.733;6215834.0;6044425.0
11:06:15.773;6215552.0;6044470.0
11:06:15.813;6215812.0;6044571.0
11:06:15.853;6219106.0;6055358.0
11:06:15.893;6215757.0;6047669.0
11:06:15.933;6215093.0;6043272.0
11:06:15.973;6215222.0;6043260.0
11:06:16.013;6215165.0;6043243.0
11:06:16.053;6215159.0;6043423.0
11:06:16.093;6215343.0;6044690.0
11:06:16.133;6215509.0;6045865.0
11:06:16.173;6215841.0;6046091.0
11:06:16.213;6215840.0;6046452.0
11:06:16.253;6215568.0;6046301.0
11:06:16.293;6221600.0;6054849.0
11:06:16.333;6215003.0;6046580.0
11:06:16.373;6215735.0;6045141.0
11:06:16.413;6215403.0;6044462.0
11:06:16.453;6216202.0;6045419.0
11:06:16.493;6216150.0;6046686.0
11:06:16.533;6216471.0;6048123.0
11:06:16.573;6216298.0;6048008.0
11:06:16.613;6216392.0;6048349.0
11:06:16.653;6216382.0;6048850.0
11:06:16.693;6216878.0;6049139.0
11:06:16.733;6222297.0;6062025.0
11:06:16.773;6215056.0;6052302.0
11:06:16.813;6216063.0;6048081.0
11:06:16.853;6216747.0;6048345.0
11:06:16.893;6216666.0;6047843.0
11:06:16.933;6216709.0;6048138.0
11:06:16.973;6216847.0;6050495.0
11:06:17.013;6216911.0;6051050.0
11:06:17.053;6216526.0;6050797.0
11:06:17.093;6217264.0;6051037.0
11:06:17.133;6216857.0;6051714.0
11:06:17.173;6221426.0;6056464.0
11:06:17.213;6216211.0;6050310.0
11:06:17.253;6216645.0;6049564.0
11:06:17.293;6216663.0;6049673.0
11:06:17.333;6216196.0;6049394.0
11:06:17.373;6216398.0;6050260.0
11:06:17.413;6216900.0;6052217.0
11:06:17.453;6216764.0;6052487.0
11:06:17.493;6216753.0;6052098.0
11:06:17.533;6216787.0;6052987.0
11:06:17.573;6224317.0;6065683.0
11:06:17.613;6215193.0;6053655.0
11:06:17.653;6216014.0;6050953.0
11:06:17.693;6216766.0;6050941.0
11:06:17.733;6215923.0;6051272.0
11:06:17.773;6216215.0;6051980.0
11:06:17.813;6216951.0;6053853.0
11:06:17.853;6216483.0;6053366.0
11:06:17.893;6216276.0;6054405.0
11:06:17.933;6216872.0;6054844.0
11:06:17.973;6216900.0;6055317.0
11:06:18.013;6216742.0;6054903.0
11:06:18.053;6216973.0;6055472.0
11:06:18.093;6216829.0;6055495.0
11:06:18.133;6216674.0;6055558.0
11:06:18.173;6216812.0;6055797.0
11:06:18.213;6220558.0;6066164.0
11:06:18.253;6215870.0;6058923.0
11:06:18.293;6216714.0;6055170.0
11:06:18.333;6216618.0;6055244.0
11:06:18.373;6216281.0;6054434.0
11:06:18.413;6216231.0;6054239.0
11:06:18.453;6217025.0;6056143.0
11:06:18.493;6217185.0;6057773.0
11:06:18.533;6216734.0;6056766.0
11:06:18.573;6216852.0;6056155.0
11:06:18.613;6216912.0;6056648.0
11:06:18.968;6223111.0;6067401.0
11:06:19.008;6216685.0;6055325.0
11:06:19.048;6216833.0;6055335.0
11:06:19.088;6216163.0;6055450.0
11:06:19.128;6216727.0;6055647.0
11:06:19.168;6216669.0;6054542.0
11:06:19.208;6216528.0;6053731.0
11:06:19.248;6220944.0;6061250.0
11:06:19.288;6216145.0;6053503.0
11:06:19.328;6216669.0;6052495.0
11:06:19.368;6215937.0;6050616.0
11:06:19.408;6216692.0;6051100.0
11:06:19.448;6216928.0;6052148.0
11:06:19.488;6217323.0;6053458.0
11:06:19.528;6217599.0;6052854.0
11:06:19.568;6217882.0;6052460.0
11:06:19.608;6217398.0;6052464.0
11:06:19.648;6217714.0;6052614.0
11:06:19.688;6218485.0;6052458.0
11:06:19.728;6218689.0;6052149.0
11:06:19.768;6219514.0;6058339.0
11:06:19.808;6222098.0;6056066.0
11:06:19.848;6219597.0;6051462.0
11:06:19.888;6219293.0;6050732.0
11:06:19.928;6220066.0;6051456.0
11:06:19.968;6220389.0;6051103.0
11:06:20.008;6220614.0;6051829.0
11:06:20.048;6221055.0;6053454.0
11:06:20.088;6221626.0;6053937.0
11:06:20.128;6221880.0;6053782.0
11:06:20.168;6221715.0;6053244.0
11:06:20.208;6229417.0;6065875.0
11:06:20.248;6221315.0;6054731.0
11:06:20.288;6222213.0;6051923.0
11:06:20.328;6222353.0;6051998.0
11:06:20.368;6222855.0;6051537.0
11:06:20.408;6223198.0;6052420.0
11:06:20.448;6223283.0;6054229.0
11:06:20.488;6223849.0;6054811.0
11:06:20.528;6223970.0;6054599.0
11:06:20.568;6224161.0;6054905.0
11:06:20.608;6224608.0;6055931.0
11:06:20.648;6225641.0;6056413.0
11:06:20.688;6233748.0;6069936.0
