Time ;Ecg 1;Ecg 2
17:13:34.673;2429143.0;2420908.0
17:13:34.677;3400898.0;3389526.0
17:13:34.681;3668131.0;3655747.0
17:13:34.685;3604746.0;3592544.0
17:13:34.689;3396114.0;3384288.0
17:13:34.693;3132433.0;3125091.0
17:13:34.697;2857230.0;2848957.0
17:13:34.701;2590691.0;2582403.0
17:13:34.705;2341503.0;2333806.0
17:13:34.709;2112721.0;2105964.0
17:13:34.713;1904289.0;1898588.0
17:13:34.717;1714617.0;1709374.0
17:13:34.721;1543108.0;1537861.0
17:13:34.725;1388763.0;1383753.0
17:13:34.729;1249909.0;1245282.0
17:13:34.733;1124911.0;1120627.0
17:13:34.737;1012395.0;1008435.0
17:13:34.741;911118.0;907542.0
17:13:34.745;819972.0;816734.0
17:13:34.749;737938.0;735003.0
17:13:34.753;664186.0;661594.0
17:13:34.757;597920.0;595749.0
17:13:34.761;537947.0;535820.0
17:13:34.765;484008.0;482131.0
17:13:34.769;438375.0;440794.0
17:13:34.773;393135.0;393636.0
17:13:34.777;353357.0;352768.0
17:13:34.781;318047.0;317138.0
17:13:34.785;286697.0;285970.0
17:13:34.789;258514.0;258335.0
17:13:34.793;232397.0;232327.0
17:13:34.797;208499.0;207936.0
17:13:34.801;187160.0;186441.0
17:13:34.805;168265.0;167496.0
17:13:34.809;151340.0;150567.0
17:13:34.813;136125.0;135305.0
17:13:34.817;122433.0;121637.0
17:13:34.821;110148.0;109415.0
17:13:34.825;99024.0;98406.0
17:13:34.829;89112.0;88490.0
17:13:34.833;80389.0;79906.0
17:13:34.837;72423.0;71865.0
17:13:34.841;64971.0;64483.0
17:13:34.845;59054.0;58068.0
17:13:34.849;51731.0;51083.0
17:13:34.853;47030.0;46810.0
17:13:34.857;42772.0;42740.0
17:13:34.861;39006.0;39362.0
17:13:34.865;35819.0;36700.0
17:13:34.869;32537.0;33797.0
17:13:34.873;28701.0;29634.0
17:13:34.877;25215.0;25610.0
17:13:34.881;22379.0;22558.0
17:13:34.885;20078.0;20124.0
17:13:34.889;17970.0;18016.0
17:13:34.893;16097.0;16080.0
