Time;Ecg1;Ecg2
11:38:58.351;2432919.0;2442628.0
11:38:58.391;3406140.0;3419802.0
11:38:58.431;3675275.0;3691101.0
11:38:58.471;3610858.0;3626023.0
11:38:58.511;3401747.0;3415120.0
11:38:58.551;3137219.0;3149552.0
11:38:58.591;2861497.0;2872778.0
11:38:58.631;2594462.0;2604636.0
11:38:58.671;2344803.0;2354277.0
11:38:58.711;2115373.0;2123916.0
11:38:58.751;1905950.0;1913642.0
11:38:58.791;1716203.0;1723397.0
11:38:58.831;1544974.0;1551655.0
11:38:58.871;1390651.0;1396783.0
11:38:58.911;1251801.0;1257175.0
11:38:58.951;1126525.0;1131680.0
11:38:58.991;1013987.0;1018482.0
11:38:59.031;912604.0;916471.0
11:38:59.071;821430.0;824916.0
11:38:59.111;739177.0;742546.0
11:38:59.151;665245.0;668289.0
11:38:59.191;600295.0;604187.0
11:38:59.231;539407.0;542350.0
11:38:59.271;484799.0;487387.0
11:38:59.311;436316.0;438230.0
11:38:59.351;392847.0;394361.0
11:38:59.391;353696.0;355060.0
11:38:59.431;318571.0;320030.0
11:38:59.471;287015.0;288414.0
11:38:59.511;258179.0;259387.0
11:38:59.551;231939.0;233210.0
11:38:59.591;208452.0;209881.0
11:38:59.631;188733.0;191612.0
11:38:59.671;169251.0;170904.0
11:38:59.711;151846.0;153276.0
11:38:59.751;136562.0;137466.0
11:38:59.791;123114.0;123419.0
11:38:59.831;111055.0;111360.0
11:38:59.871;100199.0;100595.0
11:38:59.911;90437.0;90570.0
11:38:59.951;81146.0;81453.0
11:38:59.991;72673.0;73046.0
11:39:00.031;65306.0;65639.0
11:39:00.071;58923.0;58932.0
11:39:00.111;53008.0;53108.0
11:39:00.151;47556.0;47718.0
11:39:00.191;42759.0;42695.0
11:39:00.231;39229.0;41075.0
11:39:00.271;34871.0;35455.0
11:39:00.311;30840.0;31301.0
11:39:00.351;27836.0;27793.0
11:39:00.391;25410.0;25185.0
11:39:00.431;23146.0;22771.0
11:39:00.471;21242.0;20936.0
11:39:00.511;19085.0;18770.0
11:39:00.551;16997.0;16831.0
11:39:00.591;14945.0;15000.0
11:39:00.631;13150.0;13374.0
11:39:00.671;11762.0;11878.0
11:39:00.711;10596.0;10895.0
11:39:00.751;9552.0;9801.0
11:39:00.791;8484.0;8782.0
11:39:00.831;7591.0;7861.0
11:39:00.871;6834.0;7270.0
11:39:00.911;6189.0;6483.0
11:39:00.951;5897.0;5613.0
11:39:00.991;4111.0;5798.0
11:39:01.031;3834.0;4182.0
11:39:01.071;3766.0;3987.0
11:39:01.111;3616.0;3511.0
11:39:01.151;3417.0;3371.0
11:39:01.191;3401.0;3376.0
11:39:01.231;3590.0;3532.0
11:39:01.271;3232.0;2997.0
11:39:01.311;2448.0;2648.0
11:39:01.351;1841.0;2275.0
11:39:01.391;1528.0;1988.0
11:39:01.431;1234.0;1662.0
11:39:01.471;1230.0;1247.0
11:39:01.511;439.0;2582.0
11:39:01.551;339.0;924.0
11:39:01.591;628.0;856.0
11:39:01.631;691.0;764.0
11:39:01.671;905.0;892.0
11:39:01.711;1090.0;1064.0
11:39:01.751;1385.0;1480.0
11:39:01.791;1417.0;1380.0
11:39:01.831;830.0;1094.0
11:39:01.871;387.0;767.0
11:39:01.911;251.0;661.0
11:39:01.951;342.0;753.0
11:39:01.991;246.0;681.0
11:39:02.031;73.0;547.0
11:39:02.071;40.0;419.0
11:39:02.111;-118.0;118.0
11:39:02.151;781.0;1371.0
11:39:02.191;-172.0;1323.0
11:39:02.231;-256.0;-667.0
11:39:02.271;-168.0;-437.0
11:39:02.311;3.0;79.0
11:39:21.789;204.0;427.0
11:39:21.829;175.0;788.0
11:39:21.869;38.0;528.0
11:39:21.909;-99.0;164.0
11:39:21.949;-105.0;498.0
11:39:21.989;-39.0;440.0
11:39:22.029;51.0;184.0
11:39:22.069;18.0;148.0
11:39:22.109;89.0;209.0
11:39:22.149;157.0;357.0
11:39:22.189;154.0;533.0
11:39:22.229;1457.0;2791.0
11:39:22.269;592.0;1545.0
11:39:22.309;272.0;20.0
11:39:22.349;26.0;-9.0
11:39:22.389;133.0;-40.0
11:39:22.429;338.0;229.0
11:39:22.469;605.0;967.0
11:39:22.509;791.0;959.0
11:39:22.549;527.0;611.0
11:39:22.589;70.0;659.0
11:39:22.629;-232.0;365.0
11:39:22.669;-389.0;-76.0
11:39:22.709;-231.0;51.0
11:39:22.749;-284.0;230.0
11:39:22.789;-276.0;294.0
11:39:22.829;-218.0;-32.0
11:39:22.869;-308.0;-176.0
11:39:22.909;-256.0;-95.0
11:39:22.949;-249.0;-148.0
11:39:22.989;905.0;60.0
11:39:23.029;1771.0;1826.0
11:39:23.069;133.0;4563.0
11:39:23.109;-226.0;3224.0
11:39:23.149;-355.0;496.0
11:39:23.189;-309.0;-848.0
11:39:23.229;-319.0;-1836.0
11:39:23.269;-259.0;-2513.0
11:39:23.309;25.0;-2456.0
11:39:23.349;308.0;-1045.0
11:39:23.389;24.0;-312.0
11:39:23.429;-242.0;-272.0
11:39:23.469;-201.0;-9.0
11:39:23.509;-274.0;93.0
11:39:23.549;-304.0;-45.0
11:39:23.589;-448.0;-283.0
11:39:23.629;-359.0;-18.0
11:39:23.669;-274.0;71.0
11:39:23.709;-171.0;271.0
11:39:23.749;-388.0;19.0
11:39:23.789;-303.0;22.0
11:39:23.829;-245.0;88.0
11:39:23.869;990.0;2393.0
11:39:23.909;82.0;961.0
11:39:23.949;-223.0;-460.0
11:39:23.989;-147.0;-378.0
11:39:24.029;-124.0;-321.0
11:39:24.069;30.0;-224.0
11:39:24.109;423.0;52.0
11:39:24.149;733.0;241.0
11:39:24.189;451.0;116.0
11:39:24.229;73.0;236.0
11:39:24.269;-302.0;190.0
11:39:24.309;-454.0;-158.0
11:39:24.349;-553.0;-49.0
11:39:24.389;-572.0;11.0
11:39:24.429;-508.0;-421.0
11:39:24.469;418.0;1215.0
11:39:24.509;-199.0;624.0
11:39:24.549;208.0;-416.0
11:39:24.589;-155.0;-504.0
11:39:24.629;-259.0;-272.0
11:39:24.669;-293.0;-94.0
11:39:24.709;-33.0;180.0
11:39:24.749;368.0;503.0
11:39:24.789;76.0;366.0
11:39:24.829;-342.0;185.0
11:39:24.869;-579.0;-181.0
11:39:24.909;-488.0;-236.0
11:39:24.949;608.0;2374.0
11:39:24.989;-160.0;854.0
11:39:25.029;-747.0;-53.0
11:39:25.069;-516.0;-221.0
11:39:25.109;-388.0;-273.0
11:39:25.149;-146.0;-344.0
11:39:25.189;195.0;-72.0
11:39:25.229;461.0;386.0
11:39:25.269;96.0;239.0
11:39:25.309;-172.0;-118.0
11:39:25.349;-400.0;-329.0
11:39:25.389;-297.0;-52.0
11:39:25.429;-245.0;-34.0
11:39:25.469;-508.0;-261.0
11:39:25.509;-581.0;-355.0
11:39:25.549;-469.0;-176.0
11:39:25.589;-542.0;-314.0
11:39:25.629;89.0;419.0
11:39:25.669;-1215.0;787.0
11:39:25.709;-1034.0;-1114.0
11:39:25.749;-649.0;-767.0
11:39:22.449;-478.0;-438.0
11:39:22.489;-44.0;-70.0
11:39:22.529;-182.0;101.0
11:39:22.569;-306.0;294.0
11:39:22.609;-400.0;150.0
11:39:22.649;-418.0;0.0
11:39:22.689;-311.0;-148.0
11:39:22.729;986.0;2578.0
11:39:22.769;89.0;553.0
11:39:22.809;-537.0;183.0
11:39:22.849;-377.0;-177.0
11:39:22.889;-226.0;-186.0
11:39:22.929;-44.0;75.0
11:39:22.969;367.0;471.0
11:39:23.009;451.0;252.0
11:39:23.049;174.0;209.0
11:39:23.089;-243.0;84.0
11:39:23.129;-500.0;-219.0
11:39:23.169;-615.0;-371.0
11:39:23.209;-456.0;-137.0
11:39:23.249;-479.0;-86.0
11:39:23.289;-227.0;-350.0
11:39:23.329;-1119.0;609.0
11:39:23.369;-811.0;-305.0
11:39:23.409;-696.0;-204.0
11:39:23.449;-472.0;-395.0
11:39:23.489;-211.0;-298.0
11:39:23.529;197.0;107.0
11:39:23.569;774.0;587.0
11:39:23.609;716.0;573.0
11:39:23.649;273.0;215.0
11:39:23.689;-53.0;27.0
11:39:23.729;-194.0;82.0
11:39:23.769;-312.0;-102.0
11:39:23.809;457.0;1141.0
11:39:23.849;-311.0;981.0
11:39:23.889;-457.0;-559.0
11:39:23.929;-300.0;-617.0
11:39:23.969;-227.0;-211.0
